,Timestamp,Full Name,Gender,Age,Use Phone for Class Notes,Buy/Access Books from Phone,Phone's Battery Lasts a Day,Run for Charger When Battery Dies,Worry About Losing Cell Phone,Take Phone to Bathroom,Use Phone in Social Gatherings,Check Phone Without Notification,Check Phone Before Sleep/After Waking Up,Keep Phone Next to While Sleeping,Check Emails/Calls/Texts During Class,Rely on Phone in Awkward Situations,On Phone While Watching TV/Eating,Panic Attack if Phone Left Elsewhere,Use Phone on Date,Phone Use for Playing Games,Live a Day Without Phone,Addicted to Phone,Target
0,2023-06-07 10:17:26.108620,Maria Garcia,Male,34,No,No,No,No,No,Yes,Yes,Rarely,Yes,Yes,No,Yes,No,Yes,Yes,5 hours,No,No, NOT Adicted
1,2023-10-31 10:17:26.108620,Alex Johnson,Female,38,Yes,No,No,No,Yes,Yes,Yes,Never,Yes,No,No,Yes,No,Yes,Yes,4 hours,Yes,Yes,Adicted
2,2023-03-18 10:17:26.108620,Maria Garcia,Male,23,No,No,Yes,No,No,Yes,No,Sometimes,No,No,Yes,No,No,Yes,No,1 hours,Yes,Yes,Adicted
3,2023-02-11 10:17:26.108620,Emily Martinez,Female,48,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,Yes,Yes,No,No,No,No,No,0 hours,No,Yes,Maybe addicted
4,2023-02-24 10:17:26.108620,Emily Martinez,Female,30,Yes,Yes,No,Yes,Yes,No,Yes,Rarely,No,Yes,Yes,Yes,Yes,Yes,Yes,0 hours,Yes,Yes, NOT Adicted
5,2023-03-02 10:17:26.108620,John Doe,Female,23,No,Yes,Yes,Yes,Yes,Yes,Yes,Never,Yes,Yes,Yes,No,Yes,No,Yes,1 hours,Yes,No,Maybe addicted
6,2023-05-12 10:17:26.108620,Jane Smith,Male,50,No,Yes,Yes,No,Yes,No,No,Never,Yes,Yes,Yes,Yes,Yes,No,No,0 hours,No,Yes,Adicted
7,2023-04-24 10:17:26.108620,Emily Martinez,Female,54,No,No,No,No,Yes,Yes,No,Often,No,Yes,No,Yes,Yes,No,No,4 hours,No,No, NOT Adicted
8,2023-01-31 10:17:26.108620,James Lee,Male,63,No,No,No,Yes,Yes,Yes,No,Sometimes,Yes,Yes,No,No,No,Yes,No,5 hours,No,Yes,Adicted
9,2023-05-07 10:17:26.108620,John Doe,Female,62,Yes,No,No,Yes,Yes,No,No,Rarely,No,Yes,No,Yes,Yes,Yes,Yes,3 hours,No,No,Adicted
10,2023-09-03 10:17:26.108620,John Doe,Male,61,Yes,Yes,Yes,Yes,No,No,Yes,Often,No,No,Yes,Yes,No,No,Yes,2 hours,Yes,No,Adicted
11,2023-10-03 10:17:26.108620,Alex Johnson,Male,20,Yes,Yes,No,No,No,Yes,No,Never,No,No,Yes,Yes,No,No,Yes,1 hours,Yes,No,Maybe addicted
12,2023-07-02 10:17:26.108620,Alex Johnson,Male,39,Yes,Yes,No,Yes,Yes,No,No,Never,Yes,No,Yes,No,Yes,Yes,No,1 hours,Yes,No,Maybe addicted
13,2023-07-06 10:17:26.108620,Alex Johnson,Female,24,Yes,No,No,No,No,Yes,No,Often,No,No,Yes,No,No,Yes,Yes,5 hours,No,Yes,Adicted
14,2023-11-08 10:17:26.108620,Jane Smith,Male,21,No,Yes,Yes,No,No,No,No,Sometimes,No,Yes,No,Yes,No,Yes,No,1 hours,No,Yes,Adicted
15,2022-12-27 10:17:26.108620,John Doe,Female,61,Yes,Yes,No,No,No,Yes,Yes,Sometimes,Yes,Yes,Yes,No,No,No,Yes,0 hours,No,Yes, NOT Adicted
16,2023-05-28 10:17:26.108620,Emily Martinez,Female,51,No,No,No,No,Yes,Yes,Yes,Rarely,No,No,Yes,Yes,No,Yes,No,4 hours,No,No,Adicted
17,2023-11-08 10:17:26.108620,James Lee,Male,22,Yes,Yes,Yes,No,Yes,No,No,Sometimes,Yes,No,No,No,Yes,Yes,Yes,5 hours,No,Yes,Maybe addicted
18,2023-03-22 10:17:26.108620,James Lee,Female,48,No,Yes,Yes,Yes,Yes,No,No,Rarely,Yes,No,No,No,No,No,No,0 hours,Yes,Yes,Adicted
19,2023-07-28 10:17:26.108620,Emily Martinez,Female,21,Yes,No,No,Yes,No,Yes,Yes,Rarely,No,Yes,No,No,No,Yes,Yes,3 hours,Yes,Yes,Adicted
20,2023-02-18 10:17:26.108620,James Lee,Male,58,No,Yes,No,Yes,No,No,Yes,Often,No,No,Yes,No,Yes,No,No,5 hours,Yes,Yes,Adicted
21,2023-06-04 10:17:26.108620,Maria Garcia,Female,30,No,No,Yes,Yes,Yes,No,No,Often,Yes,Yes,Yes,No,No,Yes,Yes,3 hours,No,Yes,Adicted
22,2023-05-23 10:17:26.108620,John Doe,Male,44,Yes,Yes,No,No,No,Yes,No,Rarely,No,Yes,No,Yes,Yes,No,Yes,2 hours,No,Yes,Adicted
23,2023-08-25 10:17:26.108620,Alex Johnson,Male,56,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,Yes,Yes,Yes,Yes,No,Yes,No,2 hours,No,Yes,Adicted
24,2023-09-06 10:17:26.108620,Alex Johnson,Female,48,No,No,No,Yes,Yes,Yes,No,Sometimes,No,Yes,Yes,Yes,No,Yes,Yes,1 hours,No,No,Maybe addicted
25,2023-01-16 10:17:26.108620,John Doe,Male,56,Yes,No,Yes,Yes,Yes,No,No,Never,Yes,No,No,No,Yes,Yes,No,5 hours,No,Yes,Maybe addicted
26,2023-05-26 10:17:26.108620,John Doe,Female,64,No,No,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,Yes,No,No,Yes,3 hours,No,Yes,Adicted
27,2023-05-03 10:17:26.108620,Alex Johnson,Male,40,No,Yes,No,Yes,No,Yes,No,Never,Yes,Yes,No,Yes,No,Yes,No,5 hours,No,Yes, NOT Adicted
28,2023-04-11 10:17:26.108620,Jane Smith,Female,35,Yes,Yes,No,Yes,Yes,No,No,Never,No,Yes,No,No,No,Yes,Yes,0 hours,Yes,No,Maybe addicted
29,2023-03-23 10:17:26.108620,Alex Johnson,Male,51,Yes,Yes,Yes,No,No,No,Yes,Sometimes,Yes,No,No,No,No,No,No,4 hours,Yes,Yes,Adicted
30,2022-12-30 10:17:26.108620,John Doe,Female,43,No,Yes,No,No,No,No,Yes,Never,No,No,No,Yes,No,No,Yes,5 hours,No,Yes, NOT Adicted
31,2023-09-02 10:17:26.108620,John Doe,Female,48,No,Yes,Yes,Yes,No,Yes,No,Often,Yes,Yes,No,No,Yes,Yes,No,1 hours,Yes,No,Maybe addicted
32,2023-07-05 10:17:26.108620,Maria Garcia,Male,39,No,No,Yes,No,Yes,No,Yes,Sometimes,Yes,No,No,No,No,No,No,5 hours,Yes,Yes,Maybe addicted
33,2023-09-08 10:17:26.108620,James Lee,Male,42,Yes,Yes,Yes,Yes,No,Yes,Yes,Sometimes,No,Yes,No,No,No,No,Yes,5 hours,No,No,Maybe addicted
34,2023-08-13 10:17:26.108620,Emily Martinez,Female,31,No,No,Yes,Yes,Yes,Yes,No,Often,No,Yes,Yes,Yes,No,Yes,No,4 hours,Yes,No,Adicted
35,2023-07-01 10:17:26.108620,James Lee,Male,56,Yes,No,No,No,No,No,Yes,Often,Yes,No,Yes,Yes,No,Yes,Yes,2 hours,No,No, NOT Adicted
36,2023-06-08 10:17:26.108620,Alex Johnson,Female,40,Yes,Yes,No,Yes,Yes,No,No,Never,Yes,No,No,No,No,Yes,Yes,0 hours,Yes,Yes,Adicted
37,2023-05-24 10:17:26.108620,Jane Smith,Female,57,Yes,No,No,Yes,Yes,Yes,No,Sometimes,Yes,No,No,No,No,Yes,No,4 hours,Yes,No,Maybe addicted
38,2023-04-02 10:17:26.108620,James Lee,Female,52,No,No,Yes,Yes,Yes,Yes,Yes,Never,Yes,Yes,No,Yes,No,Yes,Yes,3 hours,No,Yes, NOT Adicted
39,2023-03-07 10:17:26.108620,Alex Johnson,Male,61,No,Yes,Yes,Yes,No,No,Yes,Rarely,No,No,Yes,Yes,Yes,No,No,4 hours,Yes,Yes,Maybe addicted
